id_pedido,data_pedido,hora_pedido,cpf_cliente,telefone,segmento,produto,canal_venda,regiao,campanha,status_pedido,valor_plano,valor_fraude_estimado,qtd_sms_mes,media_historica_sms,variacao_sms_pct,uso_dados_gb,qtd_chargeback,score_credito,score_fraude,flag_fraude,tipo_fraude,em_blacklist,historico_fraudes_anteriores,regra_disparada,analista_responsavel,status_tratativa,data_fechamento,custo_operacional,mes_referencia,flag_novo_cliente,dias_desde_ativacao,qtd_linhas_ativas
PD-1000000,2025-06-07,23:19:08,623.945.354-61,(51) 997577425,NET,CNPJ Avançado,TELEVENDAS B2C,SP-Capital,PROMO-500 - Móvel,APROVADO,299.9,0.0,14,5.1,174.5,14.67,0,728,0.316,0,,0,0,,,,,0.0,2025-06,0,1442,3
PD-1000001,2025-08-20,23:19:08,723.244.079-31,(21) 990000599,Claro Residencial,Pós-Pago,APP,RJ,,BLOQUEADO,99.9,766.47,2,1.9,5.3,78.56,0,809,0.891,1,Fraude de Alto Uso (Dados),0,0,CTR-61,Pedro R.,Aberta,2025-09-13,11.54,2025-08,1,502,7
PD-1000002,2025-12-01,23:19:08,468.105.485-10,(21) 997528555,Claro Residencial,Plano Família,APP,RS,REC-200 - Automático,APROVADO,49.9,0.0,5,6.7,-25.4,15.57,0,793,0.018,0,,0,0,,Pedro R.,,,0.0,2025-12,0,658,5
PD-1000003,2026-01-07,23:19:08,457.054.589-71,(51) 998712557,Claro TV,TV HD,TELEVENDAS B2C,SP-Capital,,APROVADO,499.9,0.0,1,9.7,-89.7,7.18,0,575,0.303,0,,0,0,,Ana L.,,,0.0,2026-01,0,804,1
PD-1000004,2025-06-27,23:19:08,158.814.458-22,(11) 997175962,NET,Pós-Pago,RETENÇÃO,PE,,CANCELADO,99.9,1117.26,6,11.0,-45.5,9.42,0,605,0.884,1,Conta Mula,0,0,CTR-74,Carlos M.,Fechada,2025-07-02,119.56,2025-06,0,1260,4
PD-1000005,2025-06-21,23:19:08,345.957.640-38,(21) 997062972,Claro Móvel,CNPJ Avançado,RETENÇÃO,BA,PROMO-500 - Móvel,APROVADO,79.9,0.0,18,5.2,246.2,2.43,0,896,0.233,0,,0,0,,Ana L.,,,0.0,2025-06,0,1753,4
PD-1000006,2026-01-04,23:19:08,437.654.562-84,(21) 997358018,Claro TV,Fibra 200MB,RETENÇÃO,PE,PROMO-500 - Móvel,APROVADO,149.9,557.4,15,12.3,22.0,5.16,0,235,0.901,1,Conta Mula,1,1,CTR-53,Juliana S.,Aberta,2026-01-19,124.69,2026-01,0,1193,8
PD-1000007,2025-06-29,23:19:08,350.305.641-39,(61) 993567281,Claro Empresas,Pré-Pago,RETENÇÃO,PE,,APROVADO,499.9,4452.31,19,8.4,126.2,9.9,0,702,0.763,1,Fraude de Subscrição,0,0,CTR-74,Pedro R.,Em andamento,,116.08,2025-06,0,498,3
PD-1000008,2025-04-09,23:19:08,136.621.038-86,(31) 991615622,Claro Móvel,Pré-Pago,LOJA FÍSICA,RJ,,APROVADO,29.9,0.0,1,3.4,-70.6,11.41,0,743,0.279,0,,0,0,,,,,0.0,2025-04,0,1405,8
PD-1000009,2025-12-08,23:19:08,715.534.820-12,(85) 994523281,Claro Empresas,Combo Família,RETENÇÃO,SP-Capital,REC-100 - FPD,APROVADO,99.9,0.0,11,6.0,83.3,13.68,0,512,0.082,0,,0,0,,Carlos M.,,,0.0,2025-12,1,570,5
PD-1000010,2025-10-10,23:19:08,507.698.640-79,(11) 995310229,Claro Móvel,Combo Família,APP,BA,,APROVADO,49.9,62.44,5,13.2,-62.1,19.13,0,299,0.673,1,Conta Mula,1,4,CTR-74,,Fechada,,27.57,2025-10,1,568,4
PD-1000011,2026-02-02,23:19:08,569.092.755-71,(62) 992310140,Claro Residencial,Controle,APP,CE,REC-200 - Automático,APROVADO,49.9,0.0,6,8.0,-25.0,14.05,0,687,0.17,0,,0,0,,Ana L.,,,0.0,2026-02,1,323,2
PD-1000012,2025-10-21,23:19:08,633.515.718-40,(62) 991021747,NET,CNPJ Básico,TELEVENDAS B2C,CE,REC-100 - FPD,APROVADO,49.9,120.98,2,6.4,-68.8,3.2,0,530,0.912,0,,0,0,CTR-42,Ana L.,Fechada,,185.85,2025-10,0,510,4
PD-1000013,2025-04-13,23:19:08,543.520.904-21,(81) 997693677,Claro TV,Combo Família,TELEVENDAS B2C,BA,PROMO-500 - Móvel,CANCELADO,149.9,0.0,17,3.5,385.7,1.25,0,587,0.125,0,,0,0,,Ana L.,,,0.0,2025-04,1,583,1
PD-1000014,2026-03-10,23:19:08,617.868.800-23,(11) 990493220,NET,CNPJ Básico,APP,DF,REC-200 - Automático,CANCELADO,79.9,604.01,18,14.7,22.4,13.63,0,554,0.942,1,Fraude de Identidade,0,0,CTR-61,Pedro R.,Fechada,,169.53,2026-03,1,1520,1
PD-1000015,2026-03-02,23:19:08,349.292.983-16,(85) 998207638,Claro Empresas,Combo Família,LOJA FÍSICA,MG,,APROVADO,499.9,1152.35,0,4.2,-100.0,15.75,0,802,0.819,0,,0,0,CTR-30,,Fechada,,83.6,2026-03,0,267,4
PD-1000016,2025-08-05,23:19:08,594.013.990-49,(11) 992939212,Claro Móvel,CNPJ Avançado,TELEVENDAS B2C,PE,REC-100 - FPD,CANCELADO,499.9,1769.08,13,9.6,35.4,3.34,0,765,0.966,1,Conta Mula,0,0,CTR-42,Carlos M.,,2025-08-24,14.25,2025-08,1,260,5
PD-1000017,2026-02-21,23:19:08,136.852.830-61,(61) 994120422,Claro Móvel,Fibra 500MB,LOJA FÍSICA,PE,PROMO-500 - Móvel,APROVADO,149.9,203.3,10,10.8,-7.4,51.14,0,510,0.931,1,Fraude de Alto Uso (Dados),0,0,CTR-42,Juliana S.,,2026-03-22,159.5,2026-02,0,760,8
PD-1000018,2025-10-02,23:19:08,638.639.609-62,(71) 992914492,Claro TV,Fibra 1GB,TELEVENDAS B2C,BA,REC-100 - FPD,APROVADO,499.9,0.0,3,12.3,-75.6,3.6,0,662,0.095,0,,0,0,,Carlos M.,,,0.0,2025-10,0,1054,2
PD-1000019,2025-07-10,23:19:08,117.758.917-83,(62) 990727544,Claro Móvel,CNPJ Avançado,RETENÇÃO,CE,,APROVADO,499.9,0.0,12,14.2,-15.5,6.25,0,654,0.044,0,,0,0,,,,,0.0,2025-07,1,200,6
PD-1000020,2025-05-19,23:19:08,825.212.932-89,(71) 993392288,Claro Residencial,Combo Família,E-COMMERCE,RS,,APROVADO,99.9,0.0,10,7.5,33.3,14.38,0,525,0.047,0,,0,0,,Carlos M.,,,0.0,2025-05,1,947,4
PD-1000021,2025-05-05,23:19:08,926.249.451-47,(61) 994452689,Claro Móvel,Fibra 200MB,LOJA FÍSICA,SP-Interior,REC-100 - FPD,APROVADO,79.9,0.0,15,12.2,23.0,6.7,0,501,0.334,0,,0,0,,,,,0.0,2025-05,0,715,6
PD-1000022,2025-10-30,23:19:08,425.476.818-26,(85) 993269510,NET,Combo Família,LOJA FÍSICA,RJ,CAMP-VIP,APROVADO,99.9,0.0,17,3.8,347.4,1.1,0,848,0.08,0,,0,0,,Pedro R.,,,0.0,2025-10,0,1822,7
PD-1000023,2025-06-10,23:19:08,257.375.534-49,(11) 992353339,Claro Móvel,Fibra 500MB,APP,SP-Interior,,APROVADO,149.9,814.38,15,1.8,733.3,1.36,4,828,0.932,1,Chargeback,0,0,CTR-61,,Aberta,,161.07,2025-06,1,1206,8
PD-1000024,2025-05-28,23:19:08,211.369.572-79,(11) 998449329,Claro TV,Controle,E-COMMERCE,MG,,CANCELADO,49.9,0.0,7,14.2,-50.7,11.33,0,893,0.099,0,,0,0,,Pedro R.,,,0.0,2025-05,0,646,4
PD-1000025,2025-09-04,23:19:08,962.309.130-75,(71) 992540594,Claro Residencial,Controle,LOJA FÍSICA,BA,CAMP-VIP,PENDENTE,499.9,0.0,18,12.6,42.9,6.65,0,853,0.181,0,,0,0,,Ana L.,,,0.0,2025-09,0,407,8
PD-1000026,2026-03-11,23:19:08,395.923.234-21,(11) 998949336,Claro Móvel,Fibra 1GB,RETENÇÃO,DF,,APROVADO,49.9,0.0,3,6.3,-52.4,8.81,0,520,0.265,0,,0,0,,Carlos M.,,,0.0,2026-03,0,1170,5
PD-1000027,2025-07-23,23:19:08,742.761.707-58,(81) 997679933,Claro Residencial,Fibra 500MB,RETENÇÃO,PE,PROMO-500 - Móvel,CANCELADO,49.9,596.42,19,9.0,111.1,6.49,0,557,0.878,1,Fraude Corporativa,0,0,CTR-28,Juliana S.,Em andamento,2025-08-07,19.69,2025-07,0,1108,3
PD-1000028,2025-05-10,23:19:08,490.352.135-68,(11) 995013715,NET,Controle,TELEVENDAS B2C,RS,,CANCELADO,49.9,0.0,20,9.8,104.1,16.26,0,589,0.234,0,,0,0,,,,,0.0,2025-05,0,1637,2
PD-1000029,2025-10-01,23:19:08,545.009.025-59,(11) 995725334,Claro Empresas,Combo Família,APP,BA,,APROVADO,49.9,0.0,18,3.1,480.6,9.52,0,549,0.311,0,,0,0,,Carlos M.,,,0.0,2025-10,0,1101,5
PD-1000030,2025-04-10,23:19:08,524.914.168-60,(21) 993169687,Claro Móvel,TV Plus,RETENÇÃO,RS,,APROVADO,199.9,0.0,4,2.7,48.1,4.05,0,753,0.113,0,,0,0,,Ana L.,,,0.0,2025-04,0,902,6
PD-1000031,2025-03-31,23:19:08,511.918.182-81,(62) 997859233,Claro Empresas,Pré-Pago,E-COMMERCE,DF,REC-200 - Automático,CANCELADO,49.9,0.0,1,5.5,-81.8,8.96,0,832,0.098,0,,0,0,,Juliana S.,,,0.0,2025-03,0,614,7
PD-1000032,2026-02-20,23:19:08,782.827.422-57,(62) 990899447,Claro Móvel,Pré-Pago,APP,PR,,APROVADO,299.9,0.0,18,3.3,445.5,6.14,0,504,0.239,0,,0,0,,Juliana S.,,,0.0,2026-02,0,804,8
PD-1000033,2025-08-09,23:19:08,962.229.270-65,(41) 997452417,Claro Móvel,Combo Família,LOJA FÍSICA,DF,CAMP-VIP,CANCELADO,29.9,192.49,474,6.0,7800.0,0.9,0,645,0.738,1,Fraude de Alto Uso (SMS),0,0,CTR-30,,Em andamento,2025-08-22,77.27,2025-08,0,943,7
PD-1000034,2025-08-22,23:19:08,975.267.722-33,(11) 996854988,Claro Móvel,Combo Família,RETENÇÃO,SP-Capital,,PENDENTE,149.9,0.0,19,8.7,118.4,8.15,0,638,0.106,0,,0,0,,Pedro R.,,,0.0,2025-08,0,640,3
PD-1000035,2025-11-08,23:19:08,694.958.887-94,(81) 990279121,Claro Móvel,Pré-Pago,APP,PR,,CANCELADO,99.9,0.0,5,6.0,-16.7,19.64,0,669,0.141,0,,0,0,,,,,0.0,2025-11,0,1,4
PD-1000036,2025-12-24,23:19:08,185.106.794-97,(61) 996330138,NET,TV Plus,APP,PE,,PENDENTE,79.9,950.53,4,6.5,-38.5,19.72,0,868,0.949,1,Fraude de Subscrição,0,0,CTR-53,Carlos M.,,2026-01-20,22.05,2025-12,0,440,2
PD-1000037,2025-09-25,23:19:08,742.761.707-58,(81) 997679933,Claro Empresas,CNPJ Básico,TELEVENDAS B2C,PE,REC-200 - Automático,PENDENTE,299.9,0.0,13,4.0,225.0,3.05,0,557,0.307,0,,0,0,,Carlos M.,,,0.0,2025-09,0,658,2
PD-1000038,2025-09-12,23:19:08,237.106.728-72,(85) 997015348,Claro Móvel,Pré-Pago,LOJA FÍSICA,BA,,APROVADO,49.9,0.0,9,4.7,91.5,10.42,0,504,0.105,0,,0,0,,Ana L.,,,0.0,2025-09,0,561,1
PD-1000039,2025-10-25,23:19:08,308.761.238-59,(61) 992016385,NET,Pós-Pago,RETENÇÃO,RS,,APROVADO,149.9,0.0,2,2.8,-28.6,15.68,0,598,0.175,0,,0,0,,,,,0.0,2025-10,0,1120,1
PD-1000040,2025-11-17,23:19:08,237.106.728-72,(85) 997015348,Claro Empresas,Pré-Pago,E-COMMERCE,BA,,CANCELADO,99.9,1022.68,16,2.5,540.0,17.11,0,504,0.742,1,Conta Mula,0,0,CTR-61,Juliana S.,Fechada,,127.13,2025-11,0,1649,4
PD-1000041,2025-10-14,23:19:08,153.641.547-15,(61) 993393983,Claro Empresas,TV Plus,RETENÇÃO,SP-Interior,,APROVADO,49.9,0.0,18,13.5,33.3,6.93,0,610,0.182,0,,0,0,,Pedro R.,,,0.0,2025-10,0,101,2
