cpf_cliente,telefone,regiao,historico_fraudes_anteriores,tipo_fraude,score_fraude
437.654.562-84,(21) 997358018,PE,1,Conta Mula,0.901
507.698.640-79,(11) 995310229,BA,4,Conta Mula,0.673
234.456.557-43,(21) 993400953,RJ,4,Chargeback,0.662
537.953.816-49,(41) 998845994,MG,0,Chargeback,0.877
058.721.055-24,(81) 992418271,CE,3,Fraude de Subscrição,0.675
157.473.384-84,(31) 991832517,DF,5,Conta Mula,0.896
494.787.300-24,(51) 997927925,SP-Interior,5,,0.778
071.396.605-58,(41) 990189536,MG,5,Fraude de Alto Uso (Dados),0.742
967.066.703-36,(31) 997232405,CE,0,Fraude de Identidade,0.653
143.639.102-57,(51) 993389195,RJ,3,Clonagem de SIM,0.673
856.411.182-42,(31) 994287493,SP-Interior,1,Conta Mula,0.884
621.182.339-84,(61) 994484964,BA,0,Conta Mula,0.927
767.735.925-55,(71) 992193891,PR,4,Clonagem de SIM,0.907
562.718.750-03,(71) 999747700,SP-Interior,2,Fraude Corporativa,0.787
243.298.395-42,(62) 997080237,SP-Interior,4,Fraude de Alto Uso (SMS),0.698
678.831.712-10,(11) 993729376,RJ,1,Clonagem de SIM,0.802
663.370.502-49,(81) 992472414,RS,1,Chargeback,0.801
217.659.180-33,(62) 997977571,RS,0,Fraude Corporativa,0.797
895.677.665-75,(51) 996415119,SP-Capital,1,,0.928
232.129.833-81,(71) 997836205,RS,1,Fraude de Alto Uso (Dados),0.729
865.185.067-16,(61) 997713146,RJ,3,Fraude Corporativa,0.895
217.982.134-86,(31) 999605288,CE,2,Fraude de Subscrição,0.952
452.128.991-51,(21) 994432537,PR,2,Fraude de Subscrição,0.926
439.735.971-07,(31) 995423167,BA,5,Fraude de Alto Uso (SMS),0.72
106.181.753-44,(41) 990571126,SP-Capital,4,Fraude de Cancelamento,0.851
231.211.063-30,(21) 996491120,PR,5,Fraude de Identidade,0.818
047.113.826-75,(85) 997031780,DF,5,,0.797
404.288.605-05,(41) 998260690,BA,3,Conta Mula,0.867
678.498.436-24,(21) 998749335,BA,1,Clonagem de SIM,0.764
720.259.094-79,(85) 996007679,SP-Interior,5,Chargeback,0.839
564.347.128-71,(61) 993754845,DF,4,Fraude Corporativa,0.667
504.043.333-53,(85) 994323775,DF,2,Fraude de Identidade,0.837
406.500.425-48,(85) 992601089,SP-Interior,5,Chargeback,0.766
401.193.932-50,(21) 992442040,RS,4,,0.803
966.706.625-32,(51) 994695180,PE,1,Chargeback,0.656
164.871.206-02,(21) 992220930,CE,4,Fraude Corporativa,0.759
738.302.843-95,(62) 995379867,MG,2,,0.733
094.318.143-96,(71) 996591523,SP-Interior,1,Fraude de Alto Uso (Dados),0.687
340.242.403-38,(21) 990023487,PR,5,Fraude de Subscrição,0.88
891.416.128-46,(41) 998469478,PR,5,Fraude de Cancelamento,0.861
593.429.671-11,(51) 999120869,MG,3,Conta Mula,0.803
932.480.861-31,(81) 991970754,RJ,3,Clonagem de SIM,0.97
579.927.079-55,(21) 996207035,SP-Interior,1,Fraude de Alto Uso (Dados),0.795
134.438.998-27,(85) 990056553,RJ,0,Fraude Corporativa,0.828
608.835.615-95,(21) 995038571,CE,2,Fraude Corporativa,0.724
136.193.990-91,(71) 999792396,DF,4,Fraude de Subscrição,0.864
256.253.135-52,(61) 992051914,SP-Capital,2,Fraude de Alto Uso (Dados),0.659
528.183.253-81,(81) 999732788,MG,5,Chargeback,0.856
487.396.102-90,(85) 997456297,SP-Interior,4,Chargeback,0.736
414.596.422-97,(21) 992118772,PR,1,Fraude Corporativa,0.886
268.181.845-18,(51) 999024521,DF,2,Chargeback,0.985
557.820.190-43,(31) 992633253,MG,5,Clonagem de SIM,0.906
687.616.481-98,(11) 997357163,PE,5,Fraude de Cancelamento,0.963
850.506.413-83,(71) 998254874,SP-Capital,1,Fraude de Alto Uso (Dados),0.958
664.374.906-07,(31) 993740892,SP-Interior,5,Conta Mula,0.85
811.556.260-60,(31) 999639471,SP-Capital,5,Fraude de Subscrição,0.888
108.186.617-94,(61) 994275844,DF,0,Conta Mula,0.879
939.111.926-92,(21) 993091420,RS,2,Chargeback,0.868
688.029.424-09,(11) 993190874,BA,3,Fraude de Alto Uso (Dados),0.858
092.098.196-02,(81) 996008279,RJ,1,Fraude de Subscrição,0.939
849.830.220-50,(31) 990544120,DF,4,Chargeback,0.807
091.570.184-09,(51) 993520626,PR,1,Fraude de Subscrição,0.943
637.454.990-45,(41) 991042273,SP-Interior,3,Clonagem de SIM,0.768
716.781.126-69,(21) 992830705,SP-Interior,2,Fraude de Alto Uso (SMS),0.811
328.569.146-30,(41) 991446410,BA,0,,0.756
371.705.865-09,(51) 998875496,SP-Capital,5,,0.9
904.383.034-19,(62) 990752869,DF,3,,0.802
374.767.753-72,(71) 990861447,MG,1,Fraude de Cancelamento,0.735
896.793.521-96,(31) 996778101,MG,1,Fraude de Alto Uso (Dados),0.727
000.015.291-13,(81) 991648539,PE,4,Fraude de Identidade,0.821
140.546.835-65,(31) 991633762,PR,3,Fraude de Identidade,0.832
633.991.297-10,(31) 995193258,CE,0,Chargeback,0.731
679.981.364-62,(31) 995639966,SP-Interior,3,Fraude de Alto Uso (SMS),0.987
632.543.107-42,(81) 999569401,DF,0,Fraude Corporativa,0.972
491.630.097-92,(61) 991501223,MG,1,Fraude de Subscrição,0.687
669.096.705-46,(71) 999029842,CE,4,Chargeback,0.791
862.095.935-18,(71) 993185480,CE,5,Fraude de Cancelamento,0.674
272.318.432-22,(61) 991985251,MG,3,Fraude Corporativa,0.94
862.890.233-03,(11) 997657937,SP-Capital,2,Fraude de Cancelamento,0.866
444.983.553-93,(61) 995139660,MG,2,Fraude de Alto Uso (SMS),0.878
050.702.608-69,(85) 992847768,RJ,0,Chargeback,0.895
122.182.315-55,(21) 996922980,PR,0,Fraude de Subscrição,0.672
064.421.214-61,(51) 997573586,BA,4,Fraude de Alto Uso (SMS),0.775
535.544.964-75,(62) 998739850,PE,3,Chargeback,0.729
